#,اسم الوظيفة
1,مهندس بنية تحتية مساعد
2,مدير إدارة البنية التحتية
3,مهندس نظم سحابية
4,مهندس اول تطبيقات
5,محلل بيانات
6,مدير إدارة
7,محلل أعمال
8,مدير إدارة الحوكمة
9,مدير إدارة التطبيقات
10,مطور برمجيات مساعد
11,مدير إدارة التطوير والابتكار
12,مدير إدارة تحليل البيانات الحكومية
13,عالم بيانات
14,محلل بيانات مساعد
15,مدير إدارة تحليل الروابط والانماط
16,مبرمج
17,مدير إدارة جودة البيانات
18,مهندس ذكاء اصطناعي مساعد
19,محلل أول بيانات
20,مدير إدارة الذكاء الاصطناعي
21,مدير إدارة بيانات تعلم الآلة
22,مهندس بيانات مساعد
23,مساعد الرئيس التنفيذي لقطاع تطوير المنتجات
24,كبير مهندسي البرمجيات
25,مستشار الرئيس التنفيذي للتطبيقات المتقدمة والمشرف على إدارة المراقبة الأمنية
26,أخصائي أمن سيبراني
27,اخصائي أمن سيبراني اول
28,مسؤول أمن سيبراني
29,مراقب مالي
30,باحث قانوني
31,أخصائي أول إدارة المشاريع
32,قائد فريق المشروع
33,مدير إدارة الشؤون التنظيمية
34,مدير إدارة الاتصالات الإدارية
35,أخصائي لجان ومجالس
36,مدير الإدارة العامة لأمانة اللجنة
37,نائب الرئيس التنفيذي لمنصات الاستشراف الأمنية المتقدمة
38,مدير إدارة الحوكمة والامتثال وإدارة المخاطر
39,مدير عام الإدارة العامة لشركاء أمان
40,مدير الإدارة العامة لمسار توكلنا
41,مدير الإدارة العامة لمسار بنك البيانات الوطني
42,مدير الإدارة العامة لمسار أمن المعلومات
43,مدير إدارة الرقابة والتدقيق والمعلومات الاستباقية
44,مدير الإدارة العامة للمشاريع الأمنية
45,باحث أول قانوني
46,مستشار لرئيس الهيئة والمشرف على الإدارة العامة لمسار السحابة الأمنية
47,مدير عام إدارة استمرارية الأعمال
48,مهندس بنية تحتية
49,محلل اعمال مساعد
50,مدير الإدارة العامة للربط والحوكمة
51,مسؤول مشاريع
52,مدير إدارة الربط
53,مدير الإدارة العامة لتطوير البرمجيات
54,مبرمج ويب
55,مطور مساعد
56,خبير
57,مطور
58,مدير الإدارة العامة للتحليل والذكاء الاصطناعي
59,محلل أول أعمال
60,مدير عام إدارة هندسة البيانات
61,مهندس بيانات
62,مدير مكتب الرئيس التنفيذي لقطاع تطوير المنتجات
63,خبير إدارة منتجات
64,مدير الإدارة العامة للمنتجات التحليلية
65,مدير منتج متقدم
66,مدير عام إدارة أمن المعلومات
67,محلل أمن المعلومات
68,مدير إدارة تطوير الأعمال والشراكات
69,نائب الرئيس التنفيذي لمنظومة إحسان
70,الرئيس التنفيذي لمنظومة إحسان
71,مدير إدارة التسويق و التواصل
72,أخصائي أول العلاقات العامة
73,رئيس قسم العلاقات العامة
74,مسؤول التسويق
75,أخصائي التسويق
76,أخصائي أول التسويق
77,أخصائي أول تجربة المستخدم
78,أخصائي أول دعم ومساندة
79,مدير ادارة تطوير الحلول التكنولجية
80,مسؤول تجربة المستخدم
81,اخصائي تجربه المستخدم
82,مدير قسم تجربة المستخدم
83,مسؤول إدارة المشاريع
84,مراقب أول مالي
85,مساعد مدير المركز لمنظومة توكلنا
86,مساعد مدير مشروع
87,أخصائي تصميم
88,مهندس برمجيات مساعد
89,مهندس برمجيات
90,مدير إدارة ذكاء الاعمال
91,مدير إدارة التوثيق
92,أخصائي شراكات
93,مدير إدارة التطوير التقني لمسار التواصل
94,مدير إدارة التطوير التقني لمسار التقنيات المشتركة
95,مهندس أول برمجيات
96,مدير إدارة إختبارات الأتمتة والأداء
97,أخصائي دعم الأعمال
98,أخصائي دعم أعمال مساعد
99,اخصائي تصميم مساعد
100,مدير إدارة دعم الأعمال
101,أخصائي أول دعم الأعمال
102,مدير إدارة دعم البيئة الحية والتشغيل التقني
103,أخصائي دعم البيئة الحية والتشغيل التقني
104,أخصائي أول دعم البيئة الحية والتشغيل التقني
105,اخصائي دعم البيئة الحية والتشغيل التقني مساعد
106,أخصائي أول دعم المستفيدين
107,اخصائي دعم المستفيدين مساعد
108,مدير إدارة دعم المستفيدين
